snr_db,decoder,ber,fer,avg_iters,avg_hw_time_us,avg_hw_cycles,avg_hw_time_stage1_us,avg_hw_time_grand_us,ber_stage1,fer_stage1
7.0,ldpc4,0.02757475646871146,0.3824091778202677,3.4206500956022943,6.092545411089866,4874.036328871893,6.092545411089866,0.0,0.02757475646871146,0.3824091778202677
7.0,ldpc8,0.017369523827301066,0.12618296529968454,4.520504731861199,7.8993572555205045,6319.485804416404,7.8993572555205045,0.0,0.017369523827301066,0.12618296529968454
7.0,ldpc15,0.01288141737240601,0.056593095642331635,4.996887379739672,8.698553692699491,6958.842954159592,8.698553692699491,0.0,0.01288141737240601,0.056593095642331635
7.0,ldpc20,0.010279156650343204,0.038654812524159254,5.151140316969463,8.959177618863547,7167.3420950908385,8.959177618863547,0.0,0.010279156650343204,0.038654812524159254
7.0,ldpc100,0.010894654897068604,0.03281378178835111,8.093027071369976,14.064684782608694,11251.747826086956,14.064684782608694,0.0,0.010894654897068604,0.03281378178835111
7.0,hyb4,0.02937947679850514,0.3508771929824561,3.424561403508772,69.31979166666667,55455.833333333336,6.09583552631579,63.22395614035087,0.02939310183743382,0.3736842105263158
7.0,hyb8,0.01672299719677544,0.1154068090017311,4.452394691286786,28.982694027697633,23186.155222158108,7.7777034045008655,21.204990623196768,0.016724490997927458,0.11771494518176573
7.0,hyb15,0.014540779046747216,0.062131096613855234,5.09878844361603,20.72362146629388,16578.897173035104,8.877826188257222,11.845795278036658,0.014540836490438613,0.06244175209692451
7.0,hybsv4,0.028226218206305748,0.373134328358209,3.406716417910448,273.75566464552236,219004.5317164179,6.072117537313432,267.6835471082089,0.028243122405722864,0.3917910447761194
7.0,hybsv8,0.01656261383568479,0.10346611484738748,4.38851526125194,83.48607346094154,66788.85876875323,7.66315118986032,75.82292227108123,0.0165651966621464,0.10863942058975685
7.0,hybsv15,0.013757885014733422,0.05743825387708214,5.05255600229753,52.30970850086157,41847.766800689256,8.79589316484779,43.513815336013785,0.013758309853889317,0.05829982768523837
7.5,ldpc4,0.02482402817508523,0.33112582781456956,3.3559602649006623,5.959650248344371,4767.720198675496,5.959650248344371,0.0,0.02482402817508523,0.33112582781456956
7.5,ldpc8,0.010158876008118644,0.09074410163339383,4.217332123411978,7.358753970054446,5887.003176043557,7.358753970054446,0.0,0.010158876008118644,0.09074410163339383
7.5,ldpc15,0.010329532603897488,0.041911148365465216,4.675188600167645,8.134113055322716,6507.290444258173,8.134113055322716,0.0,0.010329532603897488,0.041911148365465216
7.5,ldpc20,0.00858772836672823,0.03229452607782981,4.850960762150815,8.435438801873083,6748.351041498466,8.435438801873083,0.0,0.00858772836672823,0.03229452607782981
7.5,ldpc100,0.0071997140905022605,0.022797218739313802,6.77806907557278,11.777569816482389,9422.055853185911,11.777569816482389,0.0,0.0071997140905022605,0.022797218739313802
7.5,hyb4,0.02531841908258386,0.3466204506065858,3.398613518197574,67.1061568457539,53684.92547660312,6.048269064124784,61.05788778162911,0.02532931506568355,0.36741767764298094
7.5,hyb8,0.013820064957530062,0.10080645161290322,4.283266129032258,26.075564516129035,20860.451612903227,7.480100806451613,18.595463709677418,0.013824072610469555,0.10786290322580645
7.5,hyb15,0.009268891197624229,0.03961180431768667,4.672806496335908,15.649373638344228,12519.498910675382,8.129213458110517,7.5201601802337095,0.009269001067643601,0.040007922360863535
7.5,hybsv4,0.025705577259867978,0.3502626970227671,3.3677758318739053,254.14223292469353,203313.78633975482,5.99768169877408,248.14455122591943,0.02571982611218769,0.37478108581436076
7.5,hybsv8,0.013496065386782842,0.09157509157509157,4.256868131868132,75.03856456043957,60030.85164835165,7.429752747252747,67.60881181318682,0.013498774709018791,0.09661172161172162
