snr_db,decoder,n_frames,ber,fer,avg_iters,hw_cycles_mean,hw_cycles_p95,hw_cycles_p99,hw_cycles_max,hw_time_us_mean,hw_time_us_p95,hw_time_us_p99,hw_time_us_max,ber_stage1,fer_stage1,grand_invocation_rate,stage1_cycles_mean,stage1_cycles_p95,stage1_cycles_p99,stage1_cycles_max,grand_cycles_mean,grand_cycles_p95,grand_cycles_p99,grand_cycles_max,patterns_tested_mean,patterns_tested_p95,patterns_tested_p99,patterns_tested_max,patterns_evaluated_mean,patterns_evaluated_p95,patterns_evaluated_p99,patterns_evaluated_max,patterns_tested_mean_if_grand,patterns_tested_p95_if_grand,patterns_tested_p99_if_grand,patterns_tested_max_if_grand,patterns_evaluated_mean_if_grand,patterns_evaluated_p95_if_grand,patterns_evaluated_p99_if_grand,patterns_evaluated_max_if_grand,pre_solver_attempt_rate,pre_solver_success_rate_total,pre_solver_success_rate_if_attempted,peel_candidate_mean,peel_candidate_p95,peel_candidate_max,peel_residual_vars_mean,peel_residual_vars_p95,peel_residual_vars_max,chase_candidate_mean,chase_candidate_p95,chase_candidate_max,chase_candidates_tested_mean,chase_candidates_tested_p95,chase_candidates_tested_max,chase_ldpc_iters_mean,chase_ldpc_iters_p95,chase_ldpc_iters_max
6.5,hybsv15,619,0.12216240404928735,0.40387722132471726,10.239095315024233,261491.66235864296,633658.2,637041.24,642023.0,326.8645779483037,792.07275,796.30155,802.52875,0.12216389767806445,0.40549273021001614,0.40549273021001614,14352.266558966074,21156.0,21156.0,21156.0,247139.3957996769,612502.2,615885.24,620867.0,44657.2746365105,110566.0,110566.0,110566.0,44657.57027463651,110566.0,110566.0,110566.0,110130.88844621513,110566.0,110566.0,110566.0,110131.61752988047,110566.0,110566.0,110566.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,hybptg4,318,0.15748332309925198,0.7861635220125787,3.949685534591195,968719.6918238994,1289037.0,1289995.46,1290067.0,1210.8996147798744,1611.29625,1612.494325,1612.58375,0.1575484490714897,0.8459119496855346,0.8459119496855346,5757.6509433962265,5877.0,5877.0,5877.0,962962.0408805031,1283160.0,1284118.46,1284190.0,164282.23270440253,208967.0,208967.0,208967.0,164282.23270440253,208967.0,208967.0,208967.0,194207.24907063198,208967.0,208967.0,208967.0,194207.24907063198,208967.0,208967.0,208967.0,0.8459119496855346,0.059748427672955975,0.07063197026022305,23.144654088050313,28.0,28.0,21.553459119496857,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,hybptg8,484,0.13627882170277275,0.5165289256198347,6.8347107438016526,659404.7809917355,1294050.85,1295078.51,1296293.0,824.2559762396693,1617.5635625,1618.8481375000001,1620.36625,0.13629792410386815,0.53099173553719,0.53099173553719,9663.861570247935,11433.0,11433.0,11433.0,649740.9194214876,1282617.85,1283645.51,1284860.0,107937.5,208967.0,208967.0,208967.0,107937.5,208967.0,208967.0,208967.0,203275.29182879376,208967.0,208967.0,208967.0,203275.29182879376,208967.0,208967.0,208967.0,0.53099173553719,0.014462809917355372,0.027237354085603113,14.75413223140496,28.0,28.0,14.34297520661157,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,hybptg15,637,0.11790951018550343,0.3924646781789639,10.119309262166405,511937.6216640502,1303641.4,1304350.56,1305393.0,639.9220270800629,1629.55175,1630.4382,1631.74125,0.11792721754154552,0.4050235478806907,0.4050235478806907,14185.733124018838,21156.0,21156.0,21156.0,497751.8885400314,1282485.4,1283194.56,1284237.0,82012.16640502354,208967.0,208967.0,208967.0,82012.16640502354,208967.0,208967.0,208967.0,202487.4031007752,208967.0,208967.0,208967.0,202487.4031007752,208967.0,208967.0,208967.0,0.4050235478806907,0.012558869701726845,0.031007751937984496,11.293563579277865,28.0,28.0,10.934065934065934,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,hybctg4,458,0.1501527738301336,0.5458515283842795,3.965065502183406,3119579.5676855897,5695580.35,5697169.29,5698588.0,3899.474459606987,7119.4754375,7121.4616125,7123.235,0.1603963721867652,0.8755458515283843,0.8755458515283843,5788.5262008733625,5877.0,5877.0,5877.0,3113791.0414847163,5689703.35,5691292.29,5692711.0,239739.08296943232,439202.0,439202.0,439202.0,239739.08296943232,439202.0,439202.0,439202.0,273816.7082294264,439202.0,439202.0,439202.0,273816.7082294264,439202.0,439202.0,439202.0,0.8755458515283843,0.3296943231441048,0.3765586034912718,29.851528384279476,40.0,40.0,17.467248908296945,32.0,32.0,34.21834061135371,40.0,40.0,70.77510917030568,128.0,128.0,565.764192139738,1024.0,1024.0
6.5,hybctg8,518,0.12176797994105687,0.4826254826254826,6.8494208494208495,2732546.079150579,5700869.7,5702688.43,5704247.0,3415.682598938224,7126.087125,7128.3605375,7130.30875,0.12186864590710744,0.5366795366795367,0.5366795366795367,9686.119691119691,11433.0,11433.0,11433.0,2722859.9594594594,5689436.7,5691255.43,5692814.0,211970.07722007722,439202.0,439202.0,439202.0,211970.07722007722,439202.0,439202.0,439202.0,394965.8273381295,439202.0,439202.0,439202.0,394965.8273381295,439202.0,439202.0,439202.0,0.5366795366795367,0.05405405405405406,0.10071942446043165,16.882239382239383,32.0,40.0,15.362934362934363,32.0,32.0,20.752895752895753,40.0,40.0,62.65830115830116,128.0,128.0,501.26640926640925,1024.0,1024.0
6.5,hybctg15,721,0.10482595261348061,0.34674063800277394,9.9625520110957,1976181.907073509,5710481.0,5712641.8,5715034.0,2470.227383841886,7138.10125,7140.80225,7143.7925,0.10482979958801468,0.3536754507628294,0.3536754507628294,13951.514563106795,21156.0,21156.0,21156.0,1962230.3925104022,5689325.0,5691485.8,5693878.0,152289.1816920943,439202.0,439202.0,439202.0,152289.1816920943,439202.0,439202.0,439202.0,430590.1960784314,439202.0,439202.0,439202.0,430590.1960784314,439202.0,439202.0,439202.0,0.3536754507628294,0.006934812760055479,0.0196078431372549,11.173370319001387,32.0,32.0,11.034674063800278,32.0,32.0,13.947295423023577,40.0,40.0,44.560332871012484,128.0,128.0,356.4826629680999,1024.0,1024.0
7.0,ldpc4,283,0.14373222761201832,0.8833922261484098,3.9823321554770317,5815.028268551237,5877.0,5877.0,5877.0,7.268785335689046,7.34625,7.34625,7.34625,0.14373222761201832,0.8833922261484098,0.0,5815.028268551237,5877.0,5877.0,5877.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ldpc8,542,0.09573762527566104,0.4612546125461255,6.6162361623616235,9338.014760147602,11433.0,11433.0,11433.0,11.672518450184503,14.29125,14.29125,14.29125,0.09573762527566104,0.4612546125461255,0.0,9338.014760147602,11433.0,11433.0,11433.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ldpc15,725,0.09799224648031014,0.3448275862068966,9.561379310344828,13391.44551724138,21156.0,21156.0,21156.0,16.739306896551724,26.445,26.445,26.445,0.09799224648031014,0.3448275862068966,0.0,13391.44551724138,21156.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ldpc20,889,0.09016097470064763,0.281214848143982,10.821147356580427,15120.843644544431,28101.0,28101.0,28101.0,18.90105455568054,35.12625,35.12625,35.12625,0.09016097470064763,0.281214848143982,0.0,15120.843644544431,28101.0,28101.0,28101.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ldpc100,951,0.0885217366957236,0.2628811777076761,32.78864353312303,45627.81072555205,139221.0,139221.0,139221.0,57.03476340694006,174.02625,174.02625,174.02625,0.0885217366957236,0.2628811777076761,0.0,45627.81072555205,139221.0,139221.0,139221.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,hyb4,299,0.14871687676871623,0.8361204013377926,3.959866220735786,131607.64214046823,159815.0,160303.19999999998,161054.0,164.50955267558527,199.76875,200.379,201.3175,0.14872862698145692,0.8528428093645485,0.8528428093645485,5774.016722408027,5877.0,5877.0,5877.0,125833.6254180602,153938.0,154426.19999999998,155177.0,28749.882943143813,34370.0,34370.0,34370.0,28752.0,34370.0,34370.0,34370.0,33710.64705882353,34370.0,34370.0,34370.0,33713.129411764705,34370.0,34370.0,34370.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,hyb8,568,0.09915474727060589,0.44014084507042256,6.647887323943662,75949.95246478873,165471.6,165531.66,165874.0,94.9374405809859,206.83950000000002,206.91457499999999,207.3425,0.09916288596966413,0.45774647887323944,0.45774647887323944,9380.852112676057,11433.0,11433.0,11433.0,66569.10035211267,154038.6,154098.66,154441.0,15156.445422535211,34370.0,34370.0,34370.0,15158.072183098591,34370.0,34370.0,34370.0,33111.00384615385,34370.0,34370.0,34370.0,33114.557692307695,34370.0,34370.0,34370.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
